Nänäre north=Assajee south=Lalale east=Inkö west=Vääkän
Söräämä south=Tistälö east=Lallonesin west=Appa
Kääränkä north=Saaskan south=Tuhas east=Austettis west=Äiteläküä
Aurra north=Ätäs south=Nüsilleti east=Sipuulvitua west=Tuka
Ahjannin north=Jisentis south=Katsimmeulpo east=Taullane west=Sepua
Öppelidää north=Öökkilä south=Välisäs east=Nuttelloksooda west=Käpöötkempäs
Räänüüde north=Ookas south=Lipsas east=Herpuuta west=Enä
Ohus north=Tapuut south=Ijo east=Künää west=Toonnuutto
Sööline north=Öösmüsüüntelääs south=Mätsirri east=Nahe west=Almosoo
Tittöö north=Mite south=Jakka east=Nälitidär west=Netää
Setöhdä north=Äpsänniräs south=Kärüsähditsä east=Estisua west=Hilka
Nompuuhvoljone north=Äjäätis south=Helüä east=Ilääs west=Orhuntilan
Otti north=Senuulii south=Ari east=Illäne west=Tijima
Sesvijain north=Lilooste south=Tojan east=Enke west=Kuusse
Äjä north=Osta south=Taateenvoorka east=Pile west=Lanooskasvoos
Ännööke north=Lösmöövüs south=Atsa east=Enseetä west=Raalvunta
Ellistis north=Ettööjään south=Anilma east=Ästäjävöö west=Kühtörörös
Kilovenosa north=Immana south=Iküs east=Ääntä west=Ilmaastiijile
Ovihka north=Etoo south=Sulvuodaa east=Tühkein west=Onnees
Hekä north=Sidenna south=Ääli east=Ristün west=Äüdüürelüä
Vastattaanta north=Öslilti south=Ötäköö east=Nippüüsi west=Ekkenataastaan
Sivöüligönä north=Tüljüli south=Iste east=Nümeni west=Lekeroo
Äppis north=Pääsvä south=Nentaama east=Sütsöläppät west=Intääs
Epätettin north=Tövelkäkkä south=Iilöühi east=Erken west=Losasuus
Odaal north=Estöön south=Pülke east=Erjo west=Tüünköö
Ikketaakaasmis north=Ahtaa south=Emarvasmo east=Kükäväätköhtän west=Tetko
Estesto north=Äksänkä south=Ääti east=Imes west=Atoo
Elli north=Ilüs south=Aveta east=Onveksaskalkas west=Töölö
Sanilla north=Alinis south=Ättänön east=Teppele west=Olan
Äüjeiränkälen north=Like south=Anun east=Namuutsoos west=Sisissülä
Lolkeskeepre north=Aulaannut south=Adis east=Miskinantaami west=Sästiki
Aake north=Pötäriräärüs south=Sapallua east=Älinjä west=Kaksi
Auseksos north=Appuun south=Ölä east=Ilintös west=Könsäänihöntüüs
Kivää north=Mäkät south=Teesme east=Saammannulta west=Tiskirä
Sise north=Paajoot south=Etään east=Ooppa west=Taaka
Nuhtonkes north=Mukaa south=Aavis east=Öhtepänäskä west=Oskistima
Roski north=Että south=Ataksata east=Nömönün west=Terosa
Häästö north=Nutte south=Ivääs east=Näkenä west=Mohjikit
Äjen north=Atki south=Takookii east=Öövevö west=Rintää
Lohlarsoi north=Ilämö south=Esaakenilma east=Sötän west=Käkensi
Tömee north=Sespooka south=Irimötä east=Arirjireva
Lurri north=Arta south=Övää east=Tittälis west=Oraa
Voosjota north=Seintelöövi south=Ölis east=Inneurva west=Ävi
Taajaa north=Emesaas south=Inni east=Ere west=Käste
Rapoo north=Semürmönsikäs south=Eles east=Säähmälüimömä west=Pissan
Kestemoron north=Onodoos south=Litsa east=Önilä west=Mäske
Tästärään north=Öüti south=Vätöri east=Austo west=Keninne
Tikkattaas north=Sustenpen south=Hakoos east=Ööstää west=Läärööttä
Esaaso north=Appules south=Äämöküntöönään east=Pünäävätöme west=Ettälüse
Nejöörhei north=Suollaalan south=Sale east=Sunkoohus west=Voojan
Kookkira north=Östetä south=Almenua east=Mattee west=Iisä
Völi north=Äppäs south=Läte east=Vikkamo west=Sempä
Öpääke north=Enkeskä south=Amepitsuksos east=Tänä west=Suta
Emohtoo north=Hesvöretää south=Entää east=Nalesten west=Ellentüüköhää
Teisili north=Nälitidär south=Ilörä east=Toros west=Jakka
Aminte north=Seki south=Ööhdüsä east=Kura west=Jarja
Nänkäräänüümes north=Äristä south=Ärveläätääsän west=Älvätä
Mestuhkaan north=Isos south=Jusovo east=Tittää west=Ilin
Saraavis north=Atokakkua south=Nisasto east=Ettöö west=Suukatrokipis
Kaatolohtuli north=Saanasaasvasuun south=Hesirä east=Ilökä west=Araavapa
Rävüüt north=Renteves south=Täti east=Akulin west=Taaterne
Känninä north=Rüünpine south=Ahmi east=Töttäällää west=Itaaduutso
Sennaamoode north=Kajonta south=Lamoo east=Ihmo west=Pempäri
Rekä north=Lalarvilla south=Öömälküs east=Kapehappikka west=Ärääkkipää
Ineüllüüvätä north=Hüsä south=Taava east=Isällö west=Mälle
Äterkö north=Äträs south=Saskin east=Keppaataallaali west=Sinneijesää
Köömi north=Ihäätüä south=Äten east=Humo west=Kaviruus
Isüväsi north=Ääte south=Mäppölvä east=Önöökääpänää west=Kata
Nohelvikuun south=Rivävö east=Sirmuto west=Roohuhi
Sikerkiiles north=Esintö south=Öörjälle east=Külti west=Oonta
Juti north=Nirö south=Okaa east=Ätö west=Jilmoovi
Esäkketötsen north=Säästenüä south=Hätisses east=Änire west=Höpreervenekää
Äärääntöös north=Kema south=Ilte east=Inmurkoo west=Ila
Höksüsinnä north=Intiikäppöskän south=Espilpo east=Oonnolinna west=Läskältä
Miträski north=Elmilen south=Äälmis east=Moomejosta west=Kelmin
Iltistato north=Espit south=Övööpöölömi east=Rilenää west=Öödöölli
Oten north=Eliruli south=Känä east=Lirätämüüs west=Aji
Ösä north=Akkiikas south=Pekakahinno east=Äläsällöölä west=Leppädi
Nähkikkistäänin north=Tititti south=Sünää east=Sülleksää west=Rääljänönkä
Janpinti north=Alli south=Elilä east=Kiliiltä west=Kasinisjan
Tikkä north=Römi south=Rütüs east=Lüti west=Tento
Äläälimä north=Orjamuukaalkoo south=Nospanaa east=Ötre west=Elkellee
Täätöö north=Tekkoki south=Inaavi east=Miras west=Ämeürhiles
Äätööpön north=Tepet south=Äälelvää east=Jikurtaasua west=Ileppöösöö
Sekeni north=Auselluvei south=Atsina east=Kaasate west=Kinö
Nejirkuuna north=Löntüüs south=Ojokeksero east=Söte west=Lüüsmi
Sönnei north=Ilelo south=Sörärin east=Ähtöllinöni west=Täänsülelüülki
Nasalpunte north=Kekkaaris south=Aalmi east=Nidallintas west=Äjö
Näkenä north=Öötintilmelün south=Älläälenün east=Anis west=Häästö
Letroka north=Oonka south=Innon east=Relaaltamun west=Mirtosti
Epilö north=Äsän south=Ajaa east=Oojelunepe west=Littejää
Veruga north=Älärkää south=Empöö east=Jaktaka west=Vümmüüpe
Livistala north=Milaatanguukos south=Ekkoorkervarka east=Itise west=Otampasta
Kinää north=Auto south=Raannaalaate east=Odalumaste west=Tuutoten
Apen north=Aarejaa south=Evepe east=Attose west=Enaas
Penka north=Kemen south=Mata east=Äsävä west=Illaaliluli
Isupa north=Aamojaa south=Även east=Jäkkä west=Eläälläs
Jeküvö north=Osuuta south=Heniskä east=Akuushentastes west=Ranastit
Enikünülä north=Säjää south=Ahasavaalees east=Seroo west=Tekärvä
Nenaan north=Läkärüürvä south=Tänsä east=Änirtä west=Limelüjüülä
Jeltaasi north=Sinään south=Pisökätkäünki east=Lisaapi west=Säsvije
Akontan north=Astaas south=Tookkeloo east=Itaaduutso west=Käsettiüte
Idä north=Aarjuro south=Jäärää east=Vuka west=Kiteittitohdoos
Aaste north=Nuja south=Täkköön east=Atka
Säntärä north=Silmivaastiulen south=Epäämiriintä east=Tekelväsispä west=Jipes
Inellenna north=Tomimmes south=Ärräle east=Keräätti west=Kookkaa
Keristi north=Isää south=Suutkaa east=Ooso west=Löntäkä
Savisoo north=Matantos south=Arjuuliihtajo east=Kili west=Kälis
Melöö north=Ilua south=Perjiköö east=Vürjüsürjehä west=Losaana
Kesakkonkinno north=Elastuunsaako south=Vööstääröre east=Süskeestöö west=Mepoti
Linte north=Ohene south=Heri east=Misi west=Rakaana
Lälläntetinkis north=Ilippe south=Lössintön east=Ättiigä west=Nelän
Aluttaa north=Esön south=Tösteemää east=Ältemän west=Ojukaa
Avekkaasoo north=Tänin south=Pinnirro east=Oolmova west=Tunhihdin
Imüke north=Ökkintä south=Irjeske east=Lilinkaa west=Laahturo
Humo north=Ihelka south=Horoos east=Loorraran west=Köömi
Ivajo north=Lüpetän south=Öli east=Ittäs west=Äppänköpä
Leköö north=Aaran south=Äölläletinääs east=Aasteviisila west=Iijorjankun
Oporsinoren north=Kintinös south=Atimpe east=Öpikä west=Änöö
Pittoon north=Määttäälihäppää south=Käläskä east=Meminekerva west=Okete
Evö north=Rikka south=Loppokaa east=Lüüniüläkästä west=Appali
Ikri north=Ästäitääs south=Nünüjikkit east=Küli west=Osaas
Öksätötkittös north=Lüttüün south=Atastilua east=Huusmaa west=Nilke
Küssäälö north=Mijülvä south=Jitä east=Estä west=Jena
Köhä north=Entarjantikkas south=Kele east=Aunnes west=Vata
Pestokamopa north=Taamaalaa south=Simmostova east=Ella west=Enna
Ija north=Sesön south=Ojes east=Atsunna west=Jöstäppüä
Nitoo north=Tulikoon south=Luvelies east=Nisemää west=Tusaajaaksahi
Kässäämä north=Hüürän south=Köütikerräpää east=Sisteen west=Äänünä
Tolka north=Erkägüö south=Elei east=Lenmisie west=Äsüsö
Ähtüülmilläävä north=Östin south=Öölkö east=Inista west=Ekastaa
Aktato north=Ausevunane south=Ämerälkisää east=Tüüsön west=Rarulatso
Nüümä north=Irtepä south=Ortopin east=Läämin west=Hastape
Linokko north=Sipan south=Öllän east=Talve west=Iduun
Ötke north=Tetikin south=Laka east=Imepinookaa west=Tantesa
Eljii north=Mame south=Ehnotus east=Eehtien west=Äküümäävöt
Ähämäkö north=Ipillan south=Lönne east=Ärmi west=Nijulaarve
Ämin north=Nattehalaatsa south=Ennahoo east=Kalispaaki west=Ennäli
Innä north=Limmusa south=Apustatasis east=Tukken west=Timoovulma
Läämiltä south=Hisi east=Töölediesküje west=Lite
Tästikä north=Edi south=Tünä east=Oraali west=Resto
Tühätkä north=Kevesa south=Köni east=Äpüs west=Elee
Öttöstesää north=Ikaan south=Kidoommuuha east=Tekärvä west=Herülminäs
Hetuunulvalo north=Lekki south=Amokaa east=Ätte west=Äästää
Eesväähdää north=Aune south=Siekün east=Näänä west=Tönsüütimin
Kosvettos north=Iirriskä south=Söksä east=Tääke west=Ista
Anotampa north=Ines south=Liljirjevan east=Ivupo west=Tiissö
Ausasa north=Akintoppatten south=Venünes east=Onossi west=Hüüsääkkikimä
Aarrenna north=Itästöö south=Hanepi east=Ekoirkiluumi west=Estää
Äüsi north=Istirhüüke south=Kisotisaa east=Ilettüs west=Vaatkeksa
Tülätsisi north=Ooppa south=Pera east=Ähtülvi west=Etään
Araattus north=Tile south=Tirjevepome east=Susuvi west=Mohtikki
Rurheva north=Ehöömöse south=Nömönün east=Ekastaa west=Että
Möläsä north=Äähis south=Nese east=Olmaa west=Ötteltö
Rekintelöörüüs north=Ajaan south=Kieren east=Säpä west=Läärke
Eton north=Hasilove south=Mättätä east=Lina west=Aali
Töölö north=Moohti south=Lipsülkis east=Elli west=Ähtömö
Kikuunun north=Vöingäädöön south=Atko east=Ööli west=Ketö
Ikasa north=Lites south=Itüüsöön east=Omis west=Tittää
Miniköö north=Liren south=Intepi east=Emo west=Epsää
Kaaskatturkaloo north=Sükännäsösöis south=Aavaas east=Lehma west=Luslaa
Nüüdö north=Ruulkaanaarippes south=Nättöke east=Pippejesä west=Ällö
Kootkelja north=Timülönüüt south=Änehäärten east=Hihoikoostikko west=Anpo
Vatsan north=Entillüürää south=Nässö east=Pitsääntüä west=Sülääs
Ääkkülestele north=Meli south=Enolin east=Keve west=Pästö
Astunen north=Lompe south=Lado east=Irje west=Esri
Okas north=Sataankavapen south=Austo east=Ahkaa west=Öüti
Liluska north=Ööstää south=Erakkettiri east=Lelvemmaan west=Hakoos
Ämä north=Esman south=Tukun east=Oore
Ivulalmaaro north=Ranookihkuvua south=Taatoso east=Jäämün west=Jurton
Assajee north=Vilirülti south=Nänäre east=Läütää west=Hirö
Nite north=Lelli south=Ikkämölökki east=Nela west=Orisvanseka
Iksänääne north=Neenalmi south=Iinädüüt east=Kepös west=Olmason
Kässe north=Lipairvippisi south=Pala east=Ehöshöös west=Alilis
Opoo north=Ralka south=Testelme east=Mätelötütä west=Sömäsihve
Söövöös north=Rintää south=Jovakaastaakka east=Takookii west=Vuusie
Esä north=Roki south=Esi east=Arhan west=Äüni
Siren north=Äänäli south=Tootus east=Nähüä west=Taasala
Tankarvi north=Aaja south=Telari east=Notirkoo west=Nühköli
Tahjo north=Ösüüntä south=Kaahkuujua east=Pote west=Tigän
Eköllistää north=Apettorhise south=Ooluktavellan east=Rikala west=Äpä
Ahdusso north=Varva south=Ähi east=Aanesa west=Hüülöspe
Aalkaa north=Taannaska south=Isällö east=Sipekäti west=Hüsä
Omostit north=Örtäsmäskä south=Ivüsti east=Etuhta west=Pükä
Änüö north=Keppaataallaali south=Sese west=Saskin
Töre north=Tunaanoli south=Seda east=Iketaajo west=Sästi
Jarja north=Aunsos south=Askolturje east=Aminte west=Itervi
Aloorra north=Nittälänäni south=Nutolinuumaas east=Äälä west=Näämmettätögää
Äppänse north=Ose south=Tärääslävün east=Orakin west=Taalas
Etöris north=Maka south=Söüstäjö east=Ädejä west=Älkönetkäsvä
Liinä north=Oornokaan south=Ärkeelättisküs east=Tentäävi west=Ätrili
Savaatastanten north=Öteettään south=Here east=Ääjärmönsi west=Sitarsa
Autto north=Kesiskin south=Mepaaraa east=Aharnirivoo west=Erjävi
Toosi north=Örkihlä south=Nohloo east=Este west=Miipöös
Länölüö north=Terä south=Eka east=Nitatalire west=Tulmaa
Äähmöös north=Sinse south=Käppellääde east=Tälääni west=Alije
Äärhälään north=Lihöümi south=Töjön east=Meppaarame west=Etis
Kuulisvo north=Äältisöttilme south=Jekkütilä east=Läälä west=Töttin
Lösküsvä north=Togaalahua south=Noli east=Isto west=Emä
Hititsikis north=Söväre south=Notusutaki east=Rilitsaa west=Okkookraa
Lelelli north=Eräännä south=Puulili east=Oohi west=Öllelkistä
Näkintä north=Äksätki south=Kenna east=Annaa west=Älääpöünet
Süühüönilkidäs north=Komaa south=Äärüüdö east=Rirussinaat west=Äläkös
Tältäkis north=Hüstääsläs south=Tussooma east=Pöllenedit west=Nupaksan
Koohta north=Sossi south=Kunis east=Sösüüttämäjää west=Ikäsi
Ooste north=Nidallintas south=Ani east=Sure west=Aalmi
Väshä north=Isuunojaassin south=Sikki east=Haamis west=Epiivatin
Akamoon north=Tula south=Läjä east=Ätkäänsirä west=Tittälis
Lontullisteni north=Oojelunepe south=Tävi east=Ermomo west=Ajaa
Sesimin north=Nasvin south=Kahtakko east=Eläneri west=Huluuta
Taaguura north=Äkän south=Lahdantahti east=Sejimaskos west=Petterka
Sönüseneltä north=Illuun south=Tuse east=Kukinti west=Tänkes
Sivinet north=Lisishänestön south=Lestä east=Enää west=Ekketenoke
Sivii north=Ekkennää south=Esüüste east=Suska west=Eraa
Ähö north=Täköhtün south=Kaaseso east=Entö west=Ehvö
Pakas north=Hervaan south=Ippipakaa east=Attaan west=Puittusen
Senisin north=Ineraalikki south=Öhtittei east=Taasala west=Looskules
Itäsäntittä north=Vitaa south=Öllös east=Sihve west=Ootos
Äppi north=Öperkän south=Ööhdivistää east=Revo west=Sellaavettaakkois
Ekaasasovoon north=Malmajeljuuppi south=Iries east=Sütää west=Jelä
Kersüülöököökääs north=Vipäi south=Äürvüpis east=Aajuki west=Vivalkis
Siskiniistää north=Estule south=Ättööle east=Väkä west=Äätüö
Kaakesporjua north=Sanikkompumi south=Vehde east=Lades west=Osteskaan
Inüüntüüs north=Esookeismane east=Opla west=Räärä
Enkotti north=Sipekäti south=Ahkette east=Ekkäs west=Isällö
Laakke north=Hasve south=Könsäänihöntüüs east=Appuun west=Käkkeekö
Luloo north=Moton south=Lokkipo east=Eehtis west=Oltaan
Vira north=Kääsäde south=Äppäästentiis east=Inose
Änäästä north=Tüpihtää south=Ilees east=Rekahoos west=Kupananneha
Sählüdilä north=Etüläälpillön south=Emmi east=Lästäkkää west=Ärkevän
Äde north=Astalii south=Ollitunuulet east=Iketten west=Elö
Tahis north=Säde south=Äüme east=Koosvaa west=Erje
Akun north=Sejänmiksä south=Irhelaa east=Tonas west=Säämis
Iska north=Tevokaanhutkin south=Iistalusin east=Anuus west=Akiraahena
Nootooluupua north=Lovoo south=Äpäviilääke east=Nökki west=Imöli
Pöönäntä north=Arpaadallo south=Nöppen east=Audua west=Mivun
Seirse north=Attulena south=Naski east=Jutraapiita west=Räkä
Ereliule north=Naasoskipotan south=Rivä east=Aaleneme west=Lina
Enninli north=Simas south=Najasetete west=Nöönlimüä
Räsüülölis north=Kiheteves south=Sääme east=Tantatta west=Älin
Anni north=Säkäären south=Ätsekännä east=Lahtalasa west=Täpä
Lekke north=Ruja south=Ästipsi east=Aantisuo west=Kätädö
Ääräärri north=Mäske south=Töötä east=Litsa west=Siijeirää
Tistälö north=Söräämä south=Aspun east=Luhossua west=Adastunadin
Pilo north=Siihestihä south=Süti east=Nisse west=Sülenvöö
Nüsilleti north=Aurra south=Öpäättä east=Kitsülättevüä west=Sökkäästi
Aarka south=Tipo east=Anurjua west=Köövä
Öökkilä north=Hilölkä south=Öppelidää east=Nehtenääs west=Äskästätä
Satkis north=Rättä south=Pööpe east=Ottee west=Intat
Tapuut north=Ivisä south=Ohus east=Paapapperippe west=Öhöön
Öösmüsüüntelääs north=Etote south=Sööline east=Asse west=Ösikkääsä
Mite north=Emilken south=Tittöö east=Ostasmua west=Arillaa
Äpsänniräs north=Huuha south=Setöhdä east=Tinsepilkoota west=Esäävetrö
Ostalo north=Ääne south=Aanta east=Kidistoos west=Imes
Senuulii north=Ahdopidaa south=Otti east=Nepemättiskää west=Ilalarite
Lilooste north=Kiivä south=Sesvijain east=Iririr west=Ootoliin
Osta north=Estöönä south=Äjä east=Nalmenontotte west=Ijivalesas
Lösmöövüs north=Ärkään south=Ännööke east=Äärmörään west=Aatipinitaa
Ettööjään north=Mikösi south=Ellistis east=Suukuken west=Kiihtaaki
Iküs north=Kilovenosa south=Rüükemei east=Kehväjöö west=Tampoome
Sulvuodaa north=Ovihka south=Önää east=Tepaastus west=Aupollaa
Sari north=Iltonta south=Sedassavelja east=Ohkis west=Istänän
Ääli north=Hekä south=Lotis east=Esvä west=Täkrinjäärürö
Sola north=Oonta south=Tötetörälö east=Öörjälle west=Süütte
Iste north=Sivöüligönä south=Istiditte east=Pinvelli west=Pehdeki
Nentaama north=Äppis south=Alluunun east=Sirtuullaa west=Äppöhi
Hisähtintööhmä north=Limün south=Öksüs east=Ömä west=Astii
Estöön north=Koida south=Odaal east=Äri west=Nösünä
Sütää north=Taankimunaan south=Lössisäs east=Tarkin west=Ekaasasovoon
Äksänkä north=Onesivus south=Estesto east=Vesihviil west=Aihaihalko
Hule north=Ojaska south=Mühäävüüs east=Laksas west=Eekemä
Tostis north=Räsi south=Teveläävüümö east=Raalkepo west=Süütürre
Like north=Pulattuusta south=Äüjeiränkälen east=Äse west=Rooshirha
Ralipes north=Inün south=Omis east=Teti west=Lites
Pötäriräärüs north=Tahele south=Aake east=Tisala west=Aastaaskipua
Lünän north=Tinte south=Etteensinila east=Iskas west=Sütä
Mäkät north=Ätri south=Kivää east=Naneruus west=Eedenaaso
Näpisi north=Sesa south=Kisvinintii east=Makuutras west=Niimpöhes
Mukaa north=Aalekkoo south=Nuhtonkes east=Serüüskä west=Enti
Ataksata north=Roski south=Tökkööttedije east=Amine west=Laavukaa
Ivi north=Heillän south=Lätti east=Antuukas west=Ivästütösti
Inkilevelää north=Tesmes south=Netusto east=Täpä west=Ookkoli
Takookii north=Äjen south=Hura east=Nurua west=Söövöös
Likkiskeen north=Ilönöön south=Läähi east=Tatuus west=Määsä
Irimötä north=Tömee south=Ätteppetää east=Säänpe
Övää north=Lurri south=Lanus east=Sasino west=Terertete
Ikkoo north=Immüühe south=Söllä east=Ööläärrätö west=Nertomi
Ihüksän north=Hihä south=Papus east=Orastuusorhe west=Maraadaka
Inni north=Taajaa south=Ootos east=Vitaa west=Mökerjinööllääs
Aantisuo north=Äkkerti south=Rikö east=Öösän west=Lekke
Onodoos north=Nettuunga south=Kestemoron east=Elmini west=Näätälin
Öüti north=Läällevän south=Tästärään east=Okas west=Sete
Netehan north=Ähää south=Oski east=Arana west=Äme
Suollaalan north=Mööröölin south=Nejöörhei east=Enilja west=Ili
Östetä north=Tippooki south=Kookkira east=Nüte west=Rastarjiskasar
Äppäs north=Tiljannutte south=Völi east=Altese west=Älövinepöön
Nunnen north=Vennä south=Öökähkästisön east=Ärvökiti west=Enke
Hesvöretää north=Oive south=Emohtoo east=Ooraako west=Ausos
Ilörä north=Teisili south=Nätääle east=Nüüsä west=Kalispaaki
Akesis north=Oistanto south=Adusasesi east=Alon west=Teherva
Kirihte north=Nuttelloksooda south=Ömääsännää west=Välisäs
Jusovo north=Mestuhkaan south=Epuun east=Eraavajes west=Köörtääträä
Enaani north=Äürtäte south=Ädejä east=Siditöö west=Maka
Hesirä north=Kaatolohtuli south=Läpöni east=Lägi west=Kappiro
Täti north=Rävüüt south=Laltihaa east=Lööne west=Tihjere
Ahmi north=Känninä south=Raakaas east=Eeveekkä west=Adalaa
Alela north=Enke south=Eloos east=Öökähkästisön west=Tojan
Öömälküs north=Rekä south=Nilölmä east=Äätekis west=Auhrilaas
Taava north=Ineüllüüvätä south=Nämüühti east=Lataa west=Etapina
Tasso north=Eerjes south=Eköön east=Isvaavumamma west=Tiitsa
Äträs north=Sila south=Äterkö east=Ääpläkki west=Aahi
Okka north=Sinküsti south=Ladodestupun east=Linne west=Pakoo
Ääte north=Sirtaatte south=Isüväsi east=Terutaastitti west=Nedöörsä
Ivöö north=Kemirä south=Ninsan east=Arna west=Eluunsi
Esintö north=Esotta south=Sikerkiiles east=Aarusaataasaan west=Ammaamin
Hijin north=Histilää south=Suurin east=Kevalihva west=Kenis
Säästenüä south=Esäkketötsen east=Maake west=Aleska
Isäli north=Ävilä south=Agemesmoo east=Arota west=Äüdähis
Intiikäppöskän north=Katen south=Höksüsinnä east=Sehi west=Vaaratkurra
Äälmis north=Miträski south=Akke east=Nikesii west=Sirkona
Änes north=Sarse south=Aasi east=Tävärhä west=Hola
Eliruli north=Silaane south=Oten east=Lansi west=Töpistüä
Pekakahinno north=Ösä south=Enunnin east=Sööppö west=Änöössä
Tititti north=Haamis south=Nähkikkistäänin east=Astuulis west=Sikki
Elilä north=Janpinti south=Otiso east=Älvitüüs west=Estö
